,-12.5,-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5
88.5,-9.5525,-9.1924,-8.8459,-8.5147,-8.2006,-7.9057,-7.6322,-7.3824,-7.1589,-6.9642,-6.8007,-6.6708,-6.5765,-6.5192,-6.5,-6.5192,-6.5765,-6.6708,-6.8007,-6.9642,-7.1589,-7.3824,-7.6322,-7.9057,-8.2006,-8.5147,-8.8459,-9.1924,-9.5525,-9.9247,-10.3078,-10.7005,-11.1018,-11.5109,-11.9269,-12.3491,-12.7769,-13.2098,-13.6473,-14.089,-14.5344,-14.9833,-15.4353,-15.8902,-16.3478,-16.8077,-17.2699,-17.7341,-18.2003,-18.6682,-19.1377,-19.6087,-20.0811,-20.5548,-21.0297,-21.5058,-21.9829,-22.4611,-22.9401,-23.4201,-23.9008,-24.3824,-24.8646,-25.3476,-25.8312
89.0,-9.2195,-8.8459,-8.4853,-8.1394,-7.8102,-7.5,-7.2111,-6.9462,-6.7082,-6.5,-6.3246,-6.1847,-6.0828,-6.0208,-6.0,-6.0208,-6.0828,-6.1847,-6.3246,-6.5,-6.7082,-6.9462,-7.2111,-7.5,-7.8102,-8.1394,-8.4853,-8.8459,-9.2195,-9.1047,-10.0,-10.4043,-10.8167,-11.2361,-11.6619,-12.0934,-12.53,-12.9711,-13.4164,-13.8654,-14.3178,-14.7733,-15.2315,-15.6924,-16.1555,-16.6208,-17.088,-17.557,-18.0278,-18.5,-18.9737,-19.4487,-19.9249,-20.4022,-20.8806,-21.36,-21.8403,-22.3215,-22.8035,-23.2863,-23.7697,-24.2539,-24.7386,-25.224,-25.7099
89.5,-8.9022,-8.5147,-8.1394,-7.7782,-7.433,-7.1063,-6.8007,-6.5192,-6.265,-6.0415,-5.8523,-5.7009,-5.5902,-5.5227,-5.5,-5.5227,-5.5902,-5.7009,-5.8523,-6.0415,-6.265,-6.5192,-6.8007,-7.1063,-7.433,-7.7782,-8.1394,-8.5147,-8.4022,-8.3005,-9.2082,-10.1242,-10.5475,-10.9772,-11.4127,-11.8533,-12.2984,-12.7475,-13.2004,-13.6565,-14.1156,-14.5774,-15.0416,-15.5081,-15.9765,-16.4469,-16.9189,-17.3925,-17.8676,-18.3439,-18.8215,-19.3003,-19.78,-20.2608,-20.7425,-21.225,-21.7083,-22.1923,-22.6771,-23.1625,-23.6485,-24.135,-24.6221,-25.1098,-25.5979
90.0,-8.6023,-8.2006,-7.8102,-7.433,-7.0711,-6.7268,-6.4031,-6.1033,-5.831,-5.5902,-5.3852,-5.2202,-5.099,-5.0249,-5.0,-5.0249,-5.099,-5.2202,-5.3852,-5.5902,-5.831,-6.1033,-6.4031,-6.7268,-7.0711,-7.433,-7.8102,-8.2006,-8.6023,-8.5139,-9.434,-9.8615,-10.2956,-10.7355,-11.1803,-11.6297,-12.083,-12.5399,-13.0,-13.4629,-13.9284,-14.3962,-14.8661,-15.3379,-15.8114,-16.2865,-16.7631,-17.2409,-17.72,-18.2003,-18.6815,-19.1638,-19.6469,-20.1308,-20.6155,-21.1009,-21.587,-22.0737,-22.561,-23.0489,-23.5372,-24.026,-24.5153,-25.005,-25.4951
90.5,-8.3217,-7.9057,-7.5,-7.1063,-6.7268,-6.364,-6.0208,-5.7009,-5.4083,-4.6478,-4.9244,-4.7434,-4.6098,-4.5277,-4.5,-4.5277,-4.6098,-4.7434,-4.9244,-5.1478,-5.4083,-5.7009,-6.0208,-6.364,-6.7268,-7.1063,-7.5,-7.9057,-8.3217,-8.7464,-9.1788,-9.6177,-10.0623,-10.5119,-10.9659,-11.4237,-11.8849,-12.3491,-12.816,-13.2853,-13.7568,-14.2302,-14.7054,-15.1822,-15.6605,-16.14,-16.6208,-17.1026,-17.5855,-18.0693,-18.554,-19.0394,-19.5256,-20.0125,-20.5,-20.9881,-21.4767,-21.9659,-22.4555,-22.9456,-23.4361,-23.927,-24.4182,-24.9098,-25.4018
91.0,-8.0623,-7.6322,-7.2111,-6.8007,-6.4031,-6.0208,-5.6569,-5.3151,-4.5,-3.717,-3.9721,-4.272,-4.1231,-4.0311,-4.0,-4.0311,-4.1231,-4.272,-4.4721,-4.717,-5.0,-5.3151,-5.6569,-6.0208,-6.4031,-6.8007,-7.2111,-7.6322,-8.0623,-8.5,-8.9443,-9.3941,-9.8489,-10.3078,-10.7703,-11.2361,-11.7047,-9.6758,-12.6491,-13.1244,-13.6015,-14.0801,-14.5602,-15.0416,-15.5242,-16.0078,-16.4924,-16.9779,-17.4642,-17.9513,-18.4391,-18.9275,-19.4165,-19.906,-20.3961,-20.8866,-21.3776,-21.8689,-22.3607,-22.8528,-23.3452,-23.838,-24.3311,-24.8244,-25.318
91.5,-7.8262,-7.3824,-6.9462,-6.5192,-6.1033,-5.7009,-5.3151,-4.9497,-4.6098,-3.8012,-4.0311,-3.8079,-3.6401,-3.5355,-3.5,-3.5355,-3.6401,-3.8079,-4.0311,-4.3012,-4.6098,-4.9497,-5.3151,-5.7009,-6.1033,-6.5192,-6.9462,-7.3824,-7.8262,-8.2765,-8.7321,-9.1924,-9.6566,-10.1242,-10.5948,-11.068,-9.0434,-7.0208,-10.0,-12.9808,-13.4629,-13.9463,-14.4309,-14.9164,-15.4029,-15.8902,-16.3783,-16.8671,-17.3566,-17.8466,-18.3371,-18.8282,-19.3197,-19.8116,-20.3039,-20.7966,-21.2897,-21.783,-22.2767,-22.7706,-23.2648,-23.7592,-24.2539,-24.7487,-25.2438
92.0,-7.6158,-7.1589,-6.7082,-6.265,-5.831,-5.4083,-5.0,-4.6098,-4.2426,-3.9051,-3.6056,-3.3541,-3.1623,-3.0414,-3.0,-3.0414,-3.1623,-3.3541,-3.6056,-3.9051,-4.2426,-4.6098,-5.0,-5.4083,-5.831,-6.265,-6.7082,-7.1589,-7.6158,-8.0777,-8.544,-9.0139,-9.4868,-9.9624,-10.4403,-10.9202,-11.4018,-9.3849,-12.3693,-12.855,-13.3417,-13.8293,-14.3178,-14.8071,-15.2971,-15.7877,-16.2788,-16.7705,-17.2627,-17.7553,-18.2483,-18.7417,-19.2354,-19.7294,-20.2237,-20.7183,-21.2132,-21.7083,-22.2036,-22.6991,-23.1948,-23.6907,-24.1868,-24.683,-25.1794
92.5,-7.433,-6.9642,-6.5,-6.0415,-5.5902,-5.1478,-4.717,-4.3012,-3.9051,-3.5355,-3.2016,-2.9155,-2.6926,-2.5495,-2.5,-2.5495,-2.6926,-2.9155,-3.2016,-3.5355,-3.9051,-4.3012,-4.717,-5.1478,-5.5902,-6.0415,-6.5,-6.9642,-7.433,-7.9057,-8.3815,-8.86,-9.3408,-9.8234,-10.3078,-10.7935,-11.2805,-11.7686,-12.2577,-12.7475,-13.2382,-13.7295,-14.2215,-14.7139,-15.2069,-15.7003,-16.1941,-16.6883,-17.1828,-17.6777,-18.1728,-18.6682,-19.1638,-19.6596,-20.1556,-20.6519,-21.1483,-21.6449,-22.1416,-22.6385,-23.1355,-23.6326,-24.1299,-24.6272,-25.1247
